Timestamp;Value;Medicion;Axis
2024-10-17 00:00:00+00:00;0.111139;acceleration;x
2024-10-17 00:00:00+00:00;0.124913;acceleration;y
2024-10-17 00:00:00+00:00;0.226462;acceleration;z
2024-10-17 00:10:00+00:00;0.123916;acceleration;x
2024-10-17 00:10:00+00:00;0.141181;acceleration;y
2024-10-17 00:10:00+00:00;0.224926;acceleration;z
2024-10-17 00:20:00+00:00;0.135949;acceleration;x
2024-10-17 00:20:00+00:00;0.129373;acceleration;y
2024-10-17 00:20:00+00:00;0.17432;acceleration;z
2024-10-17 00:30:00+00:00;0.104115;acceleration;x
2024-10-17 00:30:00+00:00;0.114173;acceleration;y
2024-10-17 00:30:00+00:00;0.208743;acceleration;z
2024-10-17 00:40:00+00:00;0.137534;acceleration;x
2024-10-17 00:40:00+00:00;0.112188;acceleration;y
2024-10-17 00:40:00+00:00;0.208605;acceleration;z
2024-10-17 00:50:00+00:00;0.139571;acceleration;x
2024-10-17 00:50:00+00:00;0.142401;acceleration;y
2024-10-17 00:50:00+00:00;0.228271;acceleration;z
2024-10-17 01:00:00+00:00;0.148933;acceleration;x
2024-10-17 01:00:00+00:00;0.145021;acceleration;y
2024-10-17 01:00:00+00:00;0.193752;acceleration;z
2024-10-17 01:10:00+00:00;0.105502;acceleration;x
2024-10-17 01:10:00+00:00;0.104154;acceleration;y
2024-10-17 01:10:00+00:00;0.174526;acceleration;z
2024-10-17 01:20:00+00:00;0.142652;acceleration;x
2024-10-17 01:20:00+00:00;0.103204;acceleration;y
2024-10-17 01:20:00+00:00;0.265666;acceleration;z
2024-10-17 01:30:00+00:00;0.131291;acceleration;x
2024-10-17 01:30:00+00:00;0.135925;acceleration;y
2024-10-17 01:30:00+00:00;0.200684;acceleration;z
2024-10-17 01:40:00+00:00;0.140677;acceleration;x
2024-10-17 01:40:00+00:00;0.11708;acceleration;y
2024-10-17 01:40:00+00:00;0.194235;acceleration;z
2024-10-17 01:50:00+00:00;0.102741;acceleration;x
2024-10-17 01:50:00+00:00;0.136323;acceleration;y
2024-10-17 01:50:00+00:00;0.168998;acceleration;z
2024-10-17 02:00:00+00:00;0.147819;acceleration;x
2024-10-17 02:00:00+00:00;0.144273;acceleration;y
2024-10-17 02:00:00+00:00;0.229079;acceleration;z
2024-10-17 02:10:00+00:00;0.118819;acceleration;x
2024-10-17 02:10:00+00:00;0.106085;acceleration;y
2024-10-17 02:10:00+00:00;0.215533;acceleration;z
2024-10-17 02:20:00+00:00;0.118616;acceleration;x
2024-10-17 02:20:00+00:00;0.136296;acceleration;y
2024-10-17 02:20:00+00:00;0.170765;acceleration;z
2024-10-17 02:30:00+00:00;0.125617;acceleration;x
2024-10-17 02:30:00+00:00;0.14292;acceleration;y
2024-10-17 02:30:00+00:00;0.252107;acceleration;z
2024-10-17 02:40:00+00:00;0.131178;acceleration;x
2024-10-17 02:40:00+00:00;0.102571;acceleration;y
2024-10-17 02:40:00+00:00;0.161966;acceleration;z
2024-10-17 02:50:00+00:00;0.104452;acceleration;x
2024-10-17 02:50:00+00:00;0.112415;acceleration;y
2024-10-17 02:50:00+00:00;0.176623;acceleration;z
2024-10-17 03:00:00+00:00;0.132913;acceleration;x
2024-10-17 03:00:00+00:00;0.142281;acceleration;y
2024-10-17 03:00:00+00:00;0.22291;acceleration;z
2024-10-17 03:10:00+00:00;0.132138;acceleration;x
2024-10-17 03:10:00+00:00;0.135295;acceleration;y
2024-10-17 03:10:00+00:00;0.226004;acceleration;z
2024-10-17 03:20:00+00:00;0.141751;acceleration;x
2024-10-17 03:20:00+00:00;0.143796;acceleration;y
2024-10-17 03:20:00+00:00;0.197424;acceleration;z
2024-10-17 03:30:00+00:00;0.138398;acceleration;x
2024-10-17 03:30:00+00:00;0.143022;acceleration;y
2024-10-17 03:30:00+00:00;0.242675;acceleration;z
2024-10-17 03:40:00+00:00;0.100311;acceleration;x
2024-10-17 03:40:00+00:00;0.146111;acceleration;y
2024-10-17 03:40:00+00:00;0.22142;acceleration;z
2024-10-17 03:50:00+00:00;0.138779;acceleration;x
2024-10-17 03:50:00+00:00;0.121885;acceleration;y
2024-10-17 03:50:00+00:00;0.253972;acceleration;z
2024-10-17 04:00:00+00:00;0.140994;acceleration;x
2024-10-17 04:00:00+00:00;0.121575;acceleration;y
2024-10-17 04:00:00+00:00;0.213946;acceleration;z
2024-10-17 04:10:00+00:00;0.13139;acceleration;x
2024-10-17 04:10:00+00:00;0.120868;acceleration;y
2024-10-17 04:10:00+00:00;0.255691;acceleration;z
2024-10-17 04:20:00+00:00;0.114896;acceleration;x
2024-10-17 04:20:00+00:00;0.148732;acceleration;y
2024-10-17 04:20:00+00:00;0.173355;acceleration;z
2024-10-17 04:30:00+00:00;0.121634;acceleration;x
2024-10-17 04:30:00+00:00;0.126931;acceleration;y
2024-10-17 04:30:00+00:00;0.220955;acceleration;z
2024-10-17 04:40:00+00:00;0.109618;acceleration;x
2024-10-17 04:40:00+00:00;0.142662;acceleration;y
2024-10-17 04:40:00+00:00;0.227985;acceleration;z
2024-10-17 04:50:00+00:00;0.145253;acceleration;x
2024-10-17 04:50:00+00:00;0.120313;acceleration;y
2024-10-17 04:50:00+00:00;0.255139;acceleration;z
2024-10-17 05:00:00+00:00;0.114309;acceleration;x
2024-10-17 05:00:00+00:00;0.138103;acceleration;y
2024-10-17 05:00:00+00:00;0.174811;acceleration;z
2024-10-17 05:10:00+00:00;0.142498;acceleration;x
2024-10-17 05:10:00+00:00;0.115619;acceleration;y
2024-10-17 05:10:00+00:00;0.245066;acceleration;z
2024-10-17 05:20:00+00:00;0.118462;acceleration;x
2024-10-17 05:20:00+00:00;0.139926;acceleration;y
2024-10-17 05:20:00+00:00;0.246737;acceleration;z
2024-10-17 05:30:00+00:00;0.113995;acceleration;x
2024-10-17 05:30:00+00:00;0.102745;acceleration;y
2024-10-17 05:30:00+00:00;0.201851;acceleration;z
2024-10-17 05:40:00+00:00;0.130307;acceleration;x
2024-10-17 05:40:00+00:00;0.130717;acceleration;y
2024-10-17 05:40:00+00:00;0.152907;acceleration;z
2024-10-17 05:50:00+00:00;0.138802;acceleration;x
2024-10-17 05:50:00+00:00;0.147141;acceleration;y
2024-10-17 05:50:00+00:00;0.191083;acceleration;z
2024-10-17 06:00:00+00:00;0.140359;acceleration;x
2024-10-17 06:00:00+00:00;0.140742;acceleration;y
2024-10-17 06:00:00+00:00;0.2426;acceleration;z
2024-10-17 06:10:00+00:00;0.131203;acceleration;x
2024-10-17 06:10:00+00:00;0.113794;acceleration;y
2024-10-17 06:10:00+00:00;0.161783;acceleration;z
2024-10-17 06:20:00+00:00;0.135461;acceleration;x
2024-10-17 06:20:00+00:00;0.133313;acceleration;y
2024-10-17 06:20:00+00:00;0.240492;acceleration;z
2024-10-17 06:30:00+00:00;0.134595;acceleration;x
2024-10-17 06:30:00+00:00;0.125193;acceleration;y
2024-10-17 06:30:00+00:00;0.199665;acceleration;z
2024-10-17 06:40:00+00:00;0.142593;acceleration;x
2024-10-17 06:40:00+00:00;0.109406;acceleration;y
2024-10-17 06:40:00+00:00;0.238456;acceleration;z
